"Transaction Date","Warehouse","Warehouse Bin","Member","Transaction Type","Qty Change","PO #","Ticket #","Project","Order #","Invoice Number","Average Cost","LIFO Cost","FIFO Cost","Unit Cost","LIFO Balance","FIFO Balance","Serial Numbers","On Hand"
"02/28/2024 1:41 pm","Houston, TX - Warehouse","Receiving Area","RWilliams","Picked","-4","","","","9007","","57.690000","57.690000","57.690000","57.690000","","","","0"
"02/28/2024 1:41 pm","Houston, TX - Warehouse","Receiving Area","RWilliams","Receipt","4","39113-S","","","","","57.690000","57.690000","57.690000","57.690000","0","0","","4"
"02/28/2024 1:41 pm","Houston, TX - Warehouse","Receiving Area","RWilliams","Picked","-4","","","","9007","","57.690000","57.690000","57.690000","57.690000","","","","0"
"02/28/2024 1:41 pm","Houston, TX - Warehouse","Receiving Area","RWilliams","Receipt","4","39113-S","","","","","57.690000","57.690000","57.690000","57.690000","0","0","","4"
"02/07/2024 1:32 pm","Houston, TX - Warehouse","Receiving Area","RWilliams","Shipment Reversal - Qty: 4","0","","","","9007","","","","","57.690000","","","","0"
"02/07/2024 1:32 pm","Houston, TX - Warehouse","Receiving Area","RWilliams","Picked Reversal","4","","","","9007","","57.690000","57.690000","57.690000","57.690000","","","","0"
"02/07/2024 1:32 pm","Houston, TX - Warehouse","Receiving Area","RWilliams","Receipt Reversal","-4","39113-S","","","","","57.690000","57.690000","57.690000","57.690000","","","","-4"
"02/07/2024 1:31 pm","Houston, TX - Warehouse","Receiving Area","RWilliams","Shipment Reversal - Qty: 4","0","","","","9007","","","","","57.690000","","","","0"
"02/07/2024 1:31 pm","Houston, TX - Warehouse","Receiving Area","RWilliams","Picked Reversal","4","","","","9007","","57.690000","57.690000","57.690000","57.690000","","","","0"
"02/07/2024 1:31 pm","Houston, TX - Warehouse","Receiving Area","RWilliams","Receipt Reversal","-4","39113-S","","","","","57.690000","57.690000","57.690000","57.690000","","","","-4"
"02/02/2024 3:32 pm","Houston, TX - Warehouse","Rack E - Bin 2","lwilson","Transfer","12","","","","","","57.690000","57.690000","57.690000","57.690000","12","12","","12"
"02/02/2024 3:32 pm","Houston, TX -  Customer Owned - Warehouse","Kelly Moore  - Rack E  - Bin 7","lwilson","Transfer","-12","","","","","","57.690000","57.690000","57.690000","57.690000","","","","0"
"12/13/2023 1:13 pm","Houston, TX -  Customer Owned - Warehouse","Kelly Moore  - Rack E  - Bin 7","lwilson","Transfer","12","","","","","","57.690000","57.690000","57.690000","57.690000","0","0","","12"
"12/13/2023 1:13 pm","Houston, TX - Warehouse","Rack E - Bin 7","lwilson","Transfer","-12","","","","","","57.690000","57.690000","57.690000","57.690000","","","","0"
"11/15/2023 2:36 pm","Houston, TX - Warehouse","Receiving Area","lwilson","Adjustment - KMP Adjustment for Receiving Area","1","","","","","","57.690000","57.690000","57.690000","57.690000","","","","0"
"11/10/2023 9:58 am","Houston, TX - Warehouse","","lwilson","Warehouse minimum stock level has changed from '8' to '8'","","","","","","","","","","","","","",""
"10/23/2023 12:23 pm","Houston, TX - Warehouse","Rack E - Bin 7","kelvin.garrison","Adjustment - KM FSL Inventory Adj. 10/23/23","4","","","","","","57.690000","57.690000","57.690000","57.690000","0","0","","12"
"10/13/2023 3:41 pm","Houston, TX - Warehouse","Receiving Area","lwilson","Picked Reversal","1","","9402004","","","","57.690000","57.690000","57.690000","57.690000","","","","-1"
"10/13/2023 3:20 pm","Houston, TX - Warehouse","Receiving Area","lwilson","Picked","-1","","9402004","","","","57.690000","57.690000","57.690000","57.690000","","","","-2"
"10/13/2023 3:19 pm","Houston, TX - Warehouse","Receiving Area","lwilson","Picked Reversal","1","","9402004","","","","57.690000","57.690000","57.690000","57.690000","","","","-1"
"10/13/2023 3:18 pm","Houston, TX - Warehouse","Receiving Area","lwilson","Shipment Reversal - Qty: 1","0","","9402004","","","","","","","57.690000","","","","-2"
"10/13/2023 3:17 pm","Houston, TX - Warehouse","Receiving Area","lwilson","Shipment - Qty: -1","0","","9402004","","","","","","","57.690000","","","","-2"
"10/13/2023 3:17 pm","Houston, TX - Warehouse","Receiving Area","lwilson","Picked","-1","","9402004","","","","57.690000","57.690000","57.690000","57.690000","","","","-2"
"10/04/2023 3:52 pm","Houston, TX - Warehouse","Receiving Area","ade.henry","Shipment - Qty: -1","0","","9402004","","","68735","","","","57.690000","","","","-1"
"10/03/2023 11:21 am","Houston, TX - Warehouse","Receiving Area","ade.henry","Shipment Reversal - Qty: 1","0","","9402004","","","68735","","","","57.690000","","","","-1"
"10/03/2023 11:20 am","Houston, TX - Warehouse","Receiving Area","ade.henry","Shipment - Qty: -1","0","","9402004","","","68735","","","","57.690000","","","","-1"
"10/03/2023 11:19 am","Houston, TX - Warehouse","Receiving Area","lwilson","Picked","-1","","9402004","","","68735","57.690000","57.690000","57.690000","57.690000","","","","-1"
"10/03/2023 11:12 am","Houston, TX - Warehouse","Receiving Area","lwilson","Picked Reversal","1","","9402004","","","68735","57.690000","57.690000","57.690000","57.690000","","","","0"
"10/03/2023 11:08 am","Houston, TX - Warehouse","Receiving Area","lwilson","Picked","-1","","9402004","","","68735","57.690000","57.690000","57.690000","57.690000","","","","-1"
"09/27/2023 3:42 pm","Houston, TX - Warehouse","Receiving Area","lwilson","Picked Reversal","1","","9402004","","","68735","57.690000","57.690000","57.690000","57.690000","","","","0"
"09/27/2023 3:39 pm","Houston, TX - Warehouse","Receiving Area","lwilson","Picked","-1","","9402004","","","68735","57.690000","57.690000","57.690000","57.690000","","","","-1"
"09/22/2023 11:10 am","Houston, TX - Warehouse","Rack E - Bin 7","kelvin.garrison","Adjustment - Kelly Moore FSL Initial Inventory","8","","","","","","57.690000","57.690000","57.690000","57.690000","0","0","","8"
"09/22/2023 10:23 am","Houston, TX - Warehouse","","kelvin.garrison","Warehouse minimum stock level has changed from '0' to '8'","","","","","","","","","","","","","",""
"09/22/2023 10:23 am","Houston, TX - Warehouse","","kelvin.garrison","Warehouse minimum stock level has been set to '0'","","","","","","","","","","","","","",""
"09/22/2023 10:23 am","","","kelvin.garrison","Class changed from 'Non-Inventory' to 'Inventory'","","","","","","","","","","","","","",""
